Date,California,Texas,Florida,New York,Pennsylvania,Illinois,Ohio,Georgia,North Carolina,Michigan,New Jersey,Virginia,Washington,Arizona,Massachusetts,Tennessee,Indiana,Maryland,Missouri,Wisconsin,Colorado,Minnesota,South Carolina,Alabama,Louisiana,Kentucky,Oregon,Oklahoma,Connecticut,Utah,Iowa,Nevada,Arkansas,Mississippi,Kansas,New Mexico,Nebraska,Idaho,West Virginia,Hawaii,New Hampshire,Maine,Rhode Island,Montana,Delaware,South Dakota,North Dakota,Alaska,District of Columbia,Vermont,Wyoming
1/31/2020,548380.2719,213062.58,248368.1268,351983.0355,190789.5661,193606.8288,155447.7035,206405.7954,208869.4945,170813.8171,352369.0601,274830.0795,404914.8051,277308.7601,423998.4046,204709.4152,159926.158,315858.2654,166771.1951,206010.2767,392704.7261,253313.7494,192604.8406,161442.6531,181572.1409,142570.192,363476.8207,140534.0382,258889.9434,347790.8431,161489.9044,303668.0227,147310.8378,137993.0028,153909.8457,200230.9213,180352.6246,287429.7648,118051.8555,611940.1897,286093.2131,240935.1208,298346.1494,278001.5604,269168.3881,209053.3776,218397.4707,304540.8459,574091.5558,264262.8331,257088.0099
2/29/2020,550638.7685,214169.0687,250178.3745,353734.5434,191963.3255,194752.3619,156466.7816,207948.8617,210168.1761,171980.8132,354405.4186,276405.5393,408660.6709,280017.2763,426370.3142,206289.3929,161083.573,317544.1664,167859.5788,207096.4603,395190.1719,255057.6892,193635.1261,162485.711,182842.3639,143386.7949,366304.5306,141779.5275,260121.304,350960.3761,161785.4307,305369.4502,147868.4679,138276.1036,155034.5928,201414.8159,181290.7642,290775.6502,118526.7776,614376.3085,287768.5231,242538.3168,300755.6265,280133.1796,270489.9344,209876.8451,218623.0517,305315.5577,577646.561,265403.4754,258033.2343
3/31/2020,552814.724,215248.1864,251768.8194,355346.6418,193222.9291,195872.6661,157571.1553,209411.2925,211618.8317,173401.2824,356962.4152,277876.3721,412847.9956,283090.5755,429337.6901,207823.9212,162341.3945,319309.7112,169080.1742,208326.6735,398050.8574,256965.0275,194726.2912,163555.4145,183814.0763,144261.4211,369277.9647,142677.2273,261829.5525,354319.0077,162132.3088,307260.2082,148648.8858,138939.4919,156331.0774,202622.7256,182226.4931,294442.2195,119354.2106,616741.2215,289861.4809,244691.2415,303438.5675,282875.1418,271895.8858,210870.4486,218877.1958,305752.3209,582392.7149,266362.1618,258921.5004
4/30/2020,554823.9813,216026.1247,252736.2209,356685.6416,194604.1917,196680.613,158572.8532,210570.5486,213015.3059,174737.5864,359434.7799,279109.6194,417022.2595,285869.8996,431928.2026,209117.4856,163551.3524,320881.7792,170179.8168,209601.1971,400773.6571,258669.0039,195726.7087,164668.2201,184588.7563,145018.9904,371594.707,143161.5871,263479.3242,357468.7429,162681.1582,308587.0383,149776.1072,139858.1738,157592.2062,203874.2048,183128.1282,298091.8495,120427.1116,618611.7705,291868.178,246924.2835,305711.3503,285382.7104,272961.7299,212059.6694,219548.4701,305807.8366,587067.9585,267355.4353,260185.7289
5/31/2020,555077.7502,216303.9048,253003.0139,357850.6054,195442.1115,196785.2762,159213.9902,211137.9452,213938.4017,175386.9859,361266.6211,279766.0084,419674.3785,287800.4991,433478.5887,210036.5594,164427.6465,321562.8462,170911.4113,210626.1041,402072.9382,259551.3909,196590.0184,165609.7246,184842.1532,145756.8048,372611.0581,143298.7688,264403.9255,359352.2242,163243.7992,308928.6839,150715.4909,140589.5389,158316.8781,205013.9452,183790.3999,301012.3528,121169.0933,618880.8763,293486.4545,248810.5763,306719.0442,286939.2105,273111.7775,213112.1687,219993.9802,305039.472,589738.6496,268214.6516,261302.3543
6/30/2020,553875.5467,216470.1673,253136.7924,358480.3759,195788.5472,196484.365,159662.2482,211504.0141,214617.7674,175610.2466,361968.5632,280184.5339,421083.5206,289126.0907,434176.2306,210734.9711,164951.0988,321684.7483,171312.1747,211315.9623,402264.3384,259762.5495,197341.3035,166409.2889,184746.878,146420.9136,372674.0531,143451.4909,264561.2929,360383.7423,163725.8086,308711.0975,151472.9167,140854.6718,158764.3603,206136.1122,184377.1313,303132.7407,121473.9747,618037.514,294697.0054,250386.9466,306817.3347,287567.1931,272937.5719,213843.125,220266.9532,303961.8634,590215.175,268819.2126,262166.6834
7/31/2020,553720.4079,217120.1035,253708.206,358658.7425,196089.9153,196203.593,160312.2375,212227.6166,215635.3049,175856.7305,362017.6706,280951.7548,422283.2952,290682.8605,434979.3714,211498.2504,165449.393,322083.1548,172056.4534,211990.5171,402423.3956,259785.0841,198336.9601,167259.9649,184586.3723,147352.9217,372896.7696,143886.1806,264615.917,361632.6434,164421.0602,308758.4046,152387.3176,141603.2132,159571.2227,207632.7632,185281.5219,305341.0286,121739.9489,617629.3409,296087.9156,252262.5869,306917.2942,288443.5094,273367.7421,214814.2884,220562.675,303407.1645,590410.9281,269724.3863,263092.3484
8/31/2020,556953.4557,218531.9539,255283.3302,359067.7176,197098.3467,196697.1864,161651.7209,213890.3665,217575.0253,176821.4031,362987.6075,282808.1601,425430.689,293394.9002,437443.3573,212915.8625,166329.9635,323604.123,173469.6352,213439.8505,404134.6034,260585.0182,199883.0573,168534.656,185254.4259,148751.8701,374900.115,144960.9695,265839.1302,364573.1746,165379.867,309954.7181,153733.2487,142899.8473,160927.81,209758.8476,186823.5309,308707.685,122461.7941,619657.2639,298681.6318,255311.6247,308481.5878,290661.3009,274998.1876,216267.0014,221308.9739,304255.8813,592494.2662,271781.6595,264588.5314
9/30/2020,564130.9435,220663.252,257809.5987,361129.1768,199243.791,198267.3313,163780.2377,216548.9519,220495.2329,178879.2087,365952.3508,285867.087,431094.0809,297673.6778,442165.7995,215311.8233,167943.0653,326593.8345,175864.305,216081.6551,407852.5063,262665.743,202194.8128,170421.1583,187006.4737,150841.8324,378986.1608,146678.6954,268599.3908,369543.4774,167068.5,312166.7336,155608.8527,144808.0912,162900.5593,212591.2103,189107.1874,314078.4499,123890.7108,624469.1015,303046.792,259773.9584,311804.815,294678.0819,277849.1203,218658.5226,222911.5172,306088.0787,596771.8327,275567.2613,266786.821
10/31/2020,573347.3342,223068.6583,260798.9776,364508.1203,201938.6766,200393.6589,166390.2424,219824.6747,223952.2136,181404.3155,370546.5014,289663.5577,438274.7713,302737.9162,448449.6918,218217.4961,170062.0826,330382.97,178576.9742,219370.7154,412815.9243,265703.1313,204880.5731,172557.0804,188806.2314,153150.6428,384559.0887,148631.0089,272661.5873,375938.9699,168899.3254,315004.9945,157442.3777,146263.2754,164708.8926,215688.9637,191544.5183,321079.1075,125803.2874,630480.1844,308572.4916,265006.5416,316422.0583,299569.1947,281545.7572,221185.598,224075.6131,308008.6026,601176.478,279587.2401,269175.0615
